GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
patientNotes,com.patientNotes.patientNotes.repository,NotesRepository,0,4,0,0,0,1,0,1,0,1
patientNotes,com.patientNotes.patientNotes.events,UserModelListener,0,26,0,2,0,7,0,4,0,3
patientNotes,com.patientNotes.patientNotes.dto,NotesDto,18,97,0,0,6,26,1,17,1,17
patientNotes,com.patientNotes.patientNotes.controller,NotesController,31,127,2,2,5,23,4,9,2,9
patientNotes,com.patientNotes.patientNotes.controller,PatientNotesController,2,46,1,1,1,7,1,4,0,4
patientNotes,com.patientNotes.patientNotes,PatientNotesApplication,8,7,0,0,3,2,1,2,1,2
patientNotes,com.patientNotes.patientNotes.model,DatabaseSequence,11,10,0,0,5,4,3,3,3,3
patientNotes,com.patientNotes.patientNotes.model,Notes,0,109,0,0,0,31,0,18,0,18
patientNotes,com.patientNotes.patientNotes.service,NotesService,40,180,3,3,7,36,4,11,1,11
patientNotes,com.patientNotes.patientNotes.service,SequenceGeneratorService,1,40,1,1,0,7,1,3,0,3
patientNotes,com.patientNotes.patientNotes.service,INotesService,4,0,0,0,1,0,1,0,1,0
patientNotes,com.patientNotes.patientNotes.config,Config,0,11,0,0,0,3,0,3,0,3
